FishID,PxPerCm_OLD,PxPerCm_NEW,Grid_Period_px,Grid_Type,Length_OLD_cm,Length_NEW_cm,Width_OLD_cm,Width_NEW_cm,Area_NEW_cm2,Perimeter_NEW_cm
fish01,46.0,37.0,37.0,1cm,20.81,25.87,3.7,4.61,72.87,55.13
fish2,39.0,30.0,30.0,1cm,24.6,31.97,3.24,4.21,96.26,67.78
fish3,46.0,23.0,23.0,1cm,19.76,39.52,9.44,18.87,505.27,95.63
fish4,36.0,50.0,50.0,1cm,25.08,18.06,3.03,2.18,22.97,36.97
fish5,41.0,50.5,50.5,1cm,23.44,19.03,2.24,1.82,29.48,39.3
fish6,47.0,47.0,47.0,1cm,23.16,23.16,1.65,1.65,24.23,47.64
fish7,36.0,33.0,33.0,1cm,26.64,29.06,6.89,7.52,206.5,70.78
fish8,36.0,88.0,88.0,1cm,26.68,10.92,2.13,0.87,7.2,22.65
fish9,36.0,130.5,130.5,1cm,25.88,7.14,1.95,0.54,2.98,14.73
fish10,44.0,87.0,87.0,1cm,20.45,10.34,4.85,2.45,16.3,23.62
fish11,36.0,94.0,94.0,1cm,26.71,10.23,2.13,0.82,5.66,21.28
fish12,51.0,42.0,42.0,1cm,18.82,22.86,1.49,1.81,28.73,47.65
fish13,22.0,34.5,34.5,1cm,31.73,20.23,6.05,3.86,47.33,44.8
fish14,50.0,40.0,40.0,1cm,19.24,24.05,1.51,1.89,31.93,49.9
fish15,48.0,39.0,39.0,1cm,20.03,24.66,1.54,1.89,36.52,50.95
