FishID,ImagePath,PxPerCm_OLD,PxPerCm_NEW,Length_OLD_cm,Length_NEW_cm,Width_OLD_cm,Width_NEW_cm,Area_NEW_cm2,Perimeter_NEW_cm
fish01,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish01\single image\fish1.jpg,46.0,37.0,20.80835491677989,12.57,3.7047248508619215,7.28,61.87,45.69
fish2,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish2\single image\fish2.jpg,39.0,30.5,24.59605212089343,27.67,3.237973922338241,3.02,63.26,60.51
fish3,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish3\single image\fish3.jpg,46.0,23.0,19.76003232209579,36.7,9.436867755392324,8.22,259.02,105.48
fish4,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish4\single image\fish4.jpg,36.0,27.0,25.082699245876736,31.26,3.033448113335504,7.89,193.58,78.31
fish5,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish5\single image\fish5.jpg,41.0,32.0,23.4393935785061,33.97,2.240617705554497,26.37,271.66,126.32
fish6,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish6\single image\fish6.jpg,47.0,40.0,23.16274050448803,21.04,1.6530245517162567,1.53,19.8,46.14
fish7,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish7\single image\fish7.jpg,36.0,33.0,26.63888888888889,12.6,6.888888888888889,2.23,21.8,29.06
fish8,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish8\single image\fish8.jpg,36.0,44.0,26.682296752929688,6.53,2.1263525221082897,3.25,14.67,18.61
fish9,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish9\single image\fish9.jpg,36.0,79.0,25.881115383572048,9.65,1.950888951619466,0.52,2.1,20.81
fish10,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish10\single image\fish10.jpg,44.0,71.0,20.44814786044034,11.01,4.850535999644887,0.99,6.92,24.91
fish11,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish11\single image\fish11.jpg,36.0,38.2,26.712832980685764,7.33,2.130735185411241,3.38,15.77,20.65
fish12,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish12\single image\fish12.jpg,51.0,85.0,18.82326492608762,3.02,1.4930370555204504,1.61,3.01,9.16
fish13,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish13\single image\fish13.jpg,22.0,53.0,31.727272727272727,15.92,6.045454545454546,2.51,30.2,47.73
fish14,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish14\single image\fish14.jpg,50.0,63.0,19.23723999023437,3.76,1.509253692626953,1.88,4.23,11.73
fish15,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish15\single image\fish15.jpg,48.0,39.5,20.03411102294922,21.34,1.539608319600423,1.72,18.15,46.64
