FishID,Image_WxH,Fish_L_px,Fish_W_px,PPC_bottom,PPC_left,PPC_OLD,PPC_NEW,Length_OLD_cm,Length_NEW_cm
fish01,960x1280,464,268,,,46.0,,20.80835491677989,
fish2,960x1280,844,80,,,39.0,,24.59605212089343,
fish3,960x1280,844,156,36.9,96.0,46.0,36.9,19.76003232209579,22.89
fish4,960x1280,844,160,,,36.0,,25.082699245876736,
fish5,960x1280,1062,844,122.3,342.2,41.0,,23.4393935785061,
fish6,1200x1600,241,135,,,47.0,,23.16274050448803,
fish7,960x1280,226,112,,,36.0,,26.63888888888889,
fish8,960x1280,286,143,43.0,45.0,36.0,44.0,26.682296752929688,6.5
fish9,960x1280,184,100,,,36.0,,25.881115383572048,
fish10,960x1280,187,109,,,44.0,,20.44814786044034,
fish11,960x1280,276,128,,,36.0,,26.712832980685764,
fish12,960x1280,256,133,,,51.0,,18.82326492608762,
fish13,960x1280,822,108,,,22.0,,31.727272727272727,
fish14,960x1280,233,117,72.0,,50.0,72.0,19.23723999023437,3.24
fish15,960x1280,203,136,,,48.0,,20.03411102294922,
