FishID,frames,expected,before_acc,after_acc,before_mean,after_mean
fish01,120,1.0,0.5916666666666667,1.0,0.8916666666666667,1.0
fish1+3+4+5,120,4.0,0.14166666666666666,1.0,2.925,4.0
fish1+3+4+5+15,120,5.0,0.058333333333333334,1.0,2.8,5.0
fish10,120,1.0,0.48333333333333334,1.0,1.1416666666666666,1.0
fish11,120,1.0,0.6166666666666667,1.0,1.5666666666666667,1.0
fish12,120,1.0,0.38333333333333336,1.0,2.6083333333333334,1.0
fish13,120,1.0,0.625,1.0,0.6916666666666667,1.0
fish14,120,1.0,0.5333333333333333,1.0,1.1083333333333334,1.0
fish15,120,1.0,0.425,1.0,1.4583333333333333,1.0
fish2,120,1.0,0.4083333333333333,1.0,1.275,1.0
fish3,120,1.0,0.375,1.0,0.9333333333333333,1.0
fish3+4,120,2.0,0.09166666666666666,1.0,2.191666666666667,2.0
fish4,120,1.0,0.5583333333333333,1.0,0.975,1.0
fish5,120,1.0,0.36666666666666664,1.0,1.5083333333333333,1.0
fish6,120,1.0,0.6833333333333333,1.0,1.3583333333333334,1.0
fish7,120,1.0,0.5916666666666667,1.0,0.9083333333333333,1.0
fish8,120,1.0,0.6666666666666666,1.0,1.2333333333333334,1.0
fish9,120,1.0,0.5083333333333333,1.0,1.5333333333333334,1.0
