FishID,FrameIndex,BaseMaskPixels,ImprovedMaskPixels,RemovedReflectionPixels,ReflectionRemovedRatio,ComponentsBefore,ComponentsAfter,SplitCountAfter
fish01,0,2197,2197,0,0.0,1,1,1
fish01,42,2147,2147,0,0.0,1,1,1
fish01,84,2138,2138,0,0.0,1,1,1
fish01,126,2665,2665,0,0.0,1,1,1
fish01,168,2789,2789,0,0.0,1,1,1
fish01,210,2294,2294,0,0.0,1,1,1
fish01,252,2504,2504,0,0.0,1,1,1
fish01,294,2566,2566,0,0.0,1,1,1
fish01,336,0,0,0,0.0,0,0,0
fish01,378,2120,2120,0,0.0,1,1,1
fish01,420,1703,1703,0,0.0,1,1,1
fish01,462,2559,2559,0,0.0,2,2,2
fish01,504,2697,2697,0,0.0,2,2,2
fish01,546,2675,2675,0,0.0,2,2,1
fish01,588,297,297,0,0.0,1,1,1
fish01,630,0,0,0,0.0,0,0,0
fish01,672,246,246,0,0.0,1,1,1
fish01,715,355,355,0,0.0,1,1,1
fish01,757,430,430,0,0.0,1,1,1
fish01,799,0,0,0,0.0,0,0,0
fish01,841,0,0,0,0.0,0,0,0
fish01,883,0,0,0,0.0,0,0,0
fish01,925,1893,1893,0,0.0,1,1,1
fish01,967,1975,1975,0,0.0,1,1,1
fish01,1009,1737,1737,0,0.0,1,1,1
fish01,1051,1757,1757,0,0.0,1,1,1
fish01,1093,2335,2335,0,0.0,1,1,1
fish01,1135,2222,2222,0,0.0,1,1,1
fish01,1177,1917,1917,0,0.0,1,1,1
fish01,1219,3929,3929,0,0.0,2,2,1
fish01,1261,5334,5334,0,0.0,2,2,3
fish01,1303,2897,2897,0,0.0,1,1,1
fish01,1345,2642,2642,0,0.0,1,1,1
fish01,1387,2384,2384,0,0.0,1,1,1
fish01,1430,2362,2362,0,0.0,1,1,1
fish01,1472,0,0,0,0.0,0,0,0
fish01,1514,0,0,0,0.0,0,0,0
fish01,1556,0,0,0,0.0,0,0,0
fish01,1598,0,0,0,0.0,0,0,0
fish01,1640,1703,1703,0,0.0,1,1,1
fish01,1682,1761,1761,0,0.0,1,1,1
fish01,1724,1449,1449,0,0.0,1,1,2
fish01,1766,1585,1585,0,0.0,1,1,1
fish01,1808,1709,1709,0,0.0,1,1,2
fish01,1850,0,0,0,0.0,0,0,0
fish01,1892,0,0,0,0.0,0,0,0
fish01,1934,0,0,0,0.0,0,0,0
fish01,1976,0,0,0,0.0,0,0,0
fish01,2018,0,0,0,0.0,0,0,0
fish01,2060,0,0,0,0.0,0,0,0
fish01,2102,0,0,0,0.0,0,0,0
fish01,2145,3368,0,0,0.0,1,0,0
fish01,2187,2088,2088,0,0.0,1,1,1
fish01,2229,3601,3601,0,0.0,2,2,2
fish01,2271,1258,1258,0,0.0,3,3,5
fish01,2313,1407,1407,0,0.0,1,1,1
fish01,2355,1399,1399,0,0.0,1,1,1
fish01,2397,1869,1869,0,0.0,1,1,1
fish01,2439,2042,2042,0,0.0,1,1,1
fish01,2481,2119,2119,0,0.0,1,1,1
fish01,2523,1872,1872,0,0.0,1,1,1
fish01,2565,1798,1798,0,0.0,1,1,1
fish01,2607,1858,1858,0,0.0,1,1,1
fish01,2649,1451,1451,0,0.0,1,1,2
fish01,2691,1473,1473,0,0.0,1,1,2
fish01,2733,1521,1521,0,0.0,1,1,2
fish01,2775,1560,0,0,0.0,1,0,0
fish01,2817,1684,1684,0,0.0,1,1,2
fish01,2860,1939,1939,0,0.0,1,1,2
fish01,2902,0,0,0,0.0,0,0,0
fish01,2944,2127,2127,0,0.0,1,1,2
fish01,2986,2090,2090,0,0.0,1,1,1
fish01,3028,1416,1416,0,0.0,2,2,3
fish01,3070,1611,1611,0,0.0,1,1,1
fish01,3112,1597,1597,0,0.0,1,1,2
fish01,3154,1936,1936,0,0.0,1,1,3
fish01,3196,0,0,0,0.0,0,0,0
fish01,3238,3851,3851,0,0.0,3,3,3
fish01,3280,3594,3594,0,0.0,3,3,3
fish01,3322,3767,3767,0,0.0,2,2,2
fish01,3364,2520,2520,0,0.0,1,1,1
fish01,3406,1194,1194,0,0.0,1,1,1
fish01,3448,1673,1673,0,0.0,1,1,1
fish01,3490,1866,1866,0,0.0,1,1,2
fish01,3532,1982,1982,0,0.0,1,1,1
fish01,3575,1992,1992,0,0.0,1,1,1
fish01,3617,1904,1904,0,0.0,1,1,1
fish01,3659,1847,1847,0,0.0,1,1,2
fish01,3701,1778,1778,0,0.0,1,1,1
fish01,3743,1523,1523,0,0.0,1,1,2
fish01,3785,1377,1377,0,0.0,1,1,1
fish01,3827,1448,1448,0,0.0,1,1,2
fish01,3869,1448,1448,0,0.0,1,1,1
fish01,3911,0,0,0,0.0,0,0,0
fish01,3953,0,0,0,0.0,0,0,0
fish01,3995,0,0,0,0.0,0,0,0
fish01,4037,1397,1397,0,0.0,1,1,1
fish01,4079,1259,1259,0,0.0,1,1,1
fish01,4121,0,0,0,0.0,0,0,0
fish01,4163,0,0,0,0.0,0,0,0
fish01,4205,0,0,0,0.0,0,0,0
fish01,4247,3607,3607,0,0.0,3,3,1
fish01,4290,1652,1652,0,0.0,1,1,1
fish01,4332,3067,3067,0,0.0,2,2,1
fish01,4374,2266,2266,0,0.0,1,1,1
fish01,4416,4014,2940,1074,0.26756352765321373,2,2,1
fish01,4458,0,0,0,0.0,0,0,0
fish01,4500,1262,1262,0,0.0,1,1,1
fish01,4542,2281,2281,0,0.0,2,2,3
fish01,4584,0,0,0,0.0,0,0,0
fish01,4626,0,0,0,0.0,0,0,0
fish01,4668,0,0,0,0.0,0,0,0
fish01,4710,0,0,0,0.0,0,0,0
fish01,4752,0,0,0,0.0,0,0,0
fish01,4794,4889,0,0,0.0,1,0,0
fish01,4836,0,0,0,0.0,0,0,0
fish01,4878,0,0,0,0.0,0,0,0
fish01,4920,2572,2572,0,0.0,2,2,2
fish01,4962,635,635,0,0.0,1,1,1
fish01,5005,0,0,0,0.0,0,0,0
fish1+3+4+5,0,817,817,0,0.0,3,3,4
fish1+3+4+5,64,3047,3047,0,0.0,4,4,4
fish1+3+4+5,129,254,254,0,0.0,1,1,1
fish1+3+4+5,194,6561,270,0,0.0,2,1,1
fish1+3+4+5,259,5925,5925,0,0.0,4,4,6
fish1+3+4+5,323,267,267,0,0.0,1,1,1
fish1+3+4+5,388,4358,4358,0,0.0,2,2,2
fish1+3+4+5,453,1817,1817,0,0.0,3,3,3
fish1+3+4+5,518,1276,1276,0,0.0,2,2,2
fish1+3+4+5,582,1355,1355,0,0.0,2,2,2
fish1+3+4+5,647,2127,2127,0,0.0,2,2,4
fish1+3+4+5,712,3521,3521,0,0.0,3,3,4
fish1+3+4+5,777,3778,3778,0,0.0,3,3,3
fish1+3+4+5,841,258,258,0,0.0,1,1,1
fish1+3+4+5,906,257,257,0,0.0,1,1,1
fish1+3+4+5,971,269,269,0,0.0,1,1,1
fish1+3+4+5,1036,2982,2982,0,0.0,3,3,3
fish1+3+4+5,1100,5433,5433,0,0.0,5,5,5
fish1+3+4+5,1165,7807,7807,0,0.0,5,5,6
fish1+3+4+5,1230,2365,2365,0,0.0,2,2,1
fish1+3+4+5,1295,2042,2042,0,0.0,3,3,2
fish1+3+4+5,1359,3252,3252,0,0.0,2,2,1
fish1+3+4+5,1424,3587,3587,0,0.0,5,5,5
fish1+3+4+5,1489,2022,2022,0,0.0,4,4,5
fish1+3+4+5,1554,259,259,0,0.0,1,1,1
fish1+3+4+5,1618,263,263,0,0.0,1,1,1
fish1+3+4+5,1683,3915,3915,0,0.0,4,4,4
fish1+3+4+5,1748,1486,1486,0,0.0,2,2,2
fish1+3+4+5,1813,254,254,0,0.0,1,1,1
fish1+3+4+5,1877,731,731,0,0.0,2,2,2
fish1+3+4+5,1942,259,259,0,0.0,1,1,1
fish1+3+4+5,2007,258,258,0,0.0,1,1,1
fish1+3+4+5,2072,4022,3731,0,0.0,4,3,3
fish1+3+4+5,2136,4314,4314,0,0.0,5,5,6
fish1+3+4+5,2201,4314,4314,0,0.0,5,5,7
fish1+3+4+5,2266,3579,3579,0,0.0,4,4,5
fish1+3+4+5,2331,1419,1419,0,0.0,4,4,5
fish1+3+4+5,2395,2759,2759,0,0.0,3,3,3
fish1+3+4+5,2460,3216,3216,0,0.0,4,4,4
fish1+3+4+5,2525,0,0,0,0.0,0,0,0
fish1+3+4+5,2590,799,799,0,0.0,2,2,4
fish1+3+4+5,2655,3869,275,0,0.0,3,1,1
fish1+3+4+5,2719,1800,1800,0,0.0,3,3,1
fish1+3+4+5,2784,1230,1230,0,0.0,2,2,2
fish1+3+4+5,2849,1353,1353,0,0.0,2,2,2
fish1+3+4+5,2914,4293,4293,0,0.0,3,3,4
fish1+3+4+5,2978,5554,5554,0,0.0,4,4,4
fish1+3+4+5,3043,2632,2632,0,0.0,2,2,2
fish1+3+4+5,3108,3321,3321,0,0.0,4,4,4
fish1+3+4+5,3173,2660,2660,0,0.0,2,2,2
fish1+3+4+5,3237,2362,2362,0,0.0,3,3,4
fish1+3+4+5,3302,2317,2317,0,0.0,1,1,2
fish1+3+4+5,3367,0,0,0,0.0,0,0,0
fish1+3+4+5,3432,0,0,0,0.0,0,0,0
fish1+3+4+5,3496,2379,2379,0,0.0,2,2,2
fish1+3+4+5,3561,0,0,0,0.0,0,0,0
fish1+3+4+5,3626,3160,1908,1252,0.3962025316455696,4,3,5
fish1+3+4+5,3691,5620,5620,0,0.0,5,5,3
fish1+3+4+5,3755,2117,2117,0,0.0,1,1,2
fish1+3+4+5,3820,3380,3048,0,0.0,4,3,2
fish1+3+4+5,3885,1525,1525,0,0.0,1,1,1
fish1+3+4+5,3950,5946,1051,0,0.0,3,2,2
fish1+3+4+5,4014,1319,1319,0,0.0,1,1,1
fish1+3+4+5,4079,4069,4069,0,0.0,6,6,7
fish1+3+4+5,4144,2256,2256,0,0.0,5,5,8
fish1+3+4+5,4209,736,736,0,0.0,1,1,1
fish1+3+4+5,4273,3480,3480,0,0.0,3,3,2
fish1+3+4+5,4338,3415,1986,0,0.0,3,2,1
fish1+3+4+5,4403,332,332,0,0.0,1,1,1
fish1+3+4+5,4468,2951,2666,0,0.0,3,2,1
fish1+3+4+5,4532,5714,5714,0,0.0,4,4,4
fish1+3+4+5,4597,4298,4298,0,0.0,3,3,2
fish1+3+4+5,4662,1575,1575,0,0.0,1,1,1
fish1+3+4+5,4727,3027,3027,0,0.0,1,1,1
fish1+3+4+5,4791,5736,5736,0,0.0,2,2,3
fish1+3+4+5,4856,2959,2959,0,0.0,1,1,2
fish1+3+4+5,4921,3086,3086,0,0.0,1,1,1
fish1+3+4+5,4986,9190,9190,0,0.0,2,2,5
fish1+3+4+5,5050,1866,1866,0,0.0,1,1,1
fish1+3+4+5,5115,7102,7102,0,0.0,3,3,3
fish1+3+4+5,5180,2466,2466,0,0.0,2,2,2
fish1+3+4+5,5245,4377,4377,0,0.0,2,2,2
fish1+3+4+5,5310,1230,1230,0,0.0,1,1,1
fish1+3+4+5,5374,847,391,456,0.538370720188902,2,1,1
fish1+3+4+5,5439,1224,1224,0,0.0,1,1,1
fish1+3+4+5,5504,680,680,0,0.0,2,2,3
fish1+3+4+5,5569,722,722,0,0.0,1,1,2
fish1+3+4+5,5633,2065,456,0,0.0,2,1,1
fish1+3+4+5,5698,10307,4513,0,0.0,2,1,4
fish1+3+4+5,5763,4528,1122,0,0.0,4,2,2
fish1+3+4+5,5828,2044,2044,0,0.0,1,1,1
fish1+3+4+5,5892,2102,2102,0,0.0,2,2,2
fish1+3+4+5,5957,3115,3115,0,0.0,2,2,2
fish1+3+4+5,6022,8178,8178,0,0.0,6,6,4
fish1+3+4+5,6087,11017,11017,0,0.0,13,13,12
fish1+3+4+5,6151,4626,4626,0,0.0,5,5,1
fish1+3+4+5,6216,11839,11839,0,0.0,17,17,15
fish1+3+4+5,6281,22708,20745,0,0.0,16,15,3
fish1+3+4+5,6346,5979,5979,0,0.0,12,12,13
fish1+3+4+5,6410,3773,3773,0,0.0,4,4,4
fish1+3+4+5,6475,12064,12064,0,0.0,2,2,3
fish1+3+4+5,6540,12003,12003,0,0.0,12,12,4
fish1+3+4+5,6605,11450,3369,0,0.0,3,2,2
fish1+3+4+5,6669,5916,5916,0,0.0,2,2,2
fish1+3+4+5,6734,10399,10399,0,0.0,4,4,5
fish1+3+4+5,6799,7100,7100,0,0.0,4,4,5
fish1+3+4+5,6864,8043,8043,0,0.0,3,3,6
fish1+3+4+5,6928,4698,4698,0,0.0,2,2,6
fish1+3+4+5,6993,4025,4025,0,0.0,2,2,4
fish1+3+4+5,7058,1980,1980,0,0.0,3,3,2
fish1+3+4+5,7123,2536,2536,0,0.0,1,1,1
fish1+3+4+5,7187,2840,2840,0,0.0,2,2,2
fish1+3+4+5,7252,5262,5262,0,0.0,5,5,5
fish1+3+4+5,7317,1135,1135,0,0.0,1,1,1
fish1+3+4+5,7382,0,0,0,0.0,0,0,0
fish1+3+4+5,7446,965,965,0,0.0,1,1,1
fish1+3+4+5,7511,958,958,0,0.0,2,2,2
fish1+3+4+5,7576,501,501,0,0.0,1,1,1
fish1+3+4+5,7641,3103,2824,0,0.0,3,2,1
fish1+3+4+5,7706,2738,2738,0,0.0,2,2,2
fish1+3+4+5+15,0,8870,2472,0,0.0,3,2,3
fish1+3+4+5+15,38,8999,2033,0,0.0,3,2,3
fish1+3+4+5+15,77,1930,1930,0,0.0,2,2,4
fish1+3+4+5+15,115,5558,5558,0,0.0,3,3,2
fish1+3+4+5+15,154,3280,3280,0,0.0,4,4,5
fish1+3+4+5+15,193,3182,3182,0,0.0,2,2,4
fish1+3+4+5+15,231,3402,3402,0,0.0,2,2,3
fish1+3+4+5+15,270,3297,3297,0,0.0,2,2,3
fish1+3+4+5+15,309,3433,3433,0,0.0,2,2,4
fish1+3+4+5+15,347,2750,2750,0,0.0,2,2,3
fish1+3+4+5+15,386,6140,2613,0,0.0,4,3,4
fish1+3+4+5+15,425,4888,4888,0,0.0,4,4,5
fish1+3+4+5+15,463,4169,4169,0,0.0,6,6,4
fish1+3+4+5+15,502,5998,5998,0,0.0,6,6,5
fish1+3+4+5+15,540,6065,6065,0,0.0,4,4,4
fish1+3+4+5+15,579,5136,5136,0,0.0,2,2,2
fish1+3+4+5+15,618,3441,3441,0,0.0,2,2,1
fish1+3+4+5+15,656,6964,6964,0,0.0,3,3,5
fish1+3+4+5+15,695,883,883,0,0.0,2,2,2
fish1+3+4+5+15,734,2968,2937,31,0.010444743935309973,5,5,7
fish1+3+4+5+15,772,3334,3334,0,0.0,6,6,10
fish1+3+4+5+15,811,16244,15157,901,0.055466633834031026,5,4,6
fish1+3+4+5+15,850,8858,8858,0,0.0,9,9,3
fish1+3+4+5+15,888,4349,4349,0,0.0,2,2,4
fish1+3+4+5+15,927,6371,6371,0,0.0,2,2,2
fish1+3+4+5+15,965,7856,7856,0,0.0,6,6,1
fish1+3+4+5+15,1004,5328,5328,0,0.0,5,5,5
fish1+3+4+5+15,1043,5429,5429,0,0.0,8,8,3
fish1+3+4+5+15,1081,2811,2811,0,0.0,4,4,4
fish1+3+4+5+15,1120,15568,15568,0,0.0,6,6,3
fish1+3+4+5+15,1159,7075,7075,0,0.0,2,2,3
fish1+3+4+5+15,1197,3268,3268,0,0.0,3,3,2
fish1+3+4+5+15,1236,2952,2952,0,0.0,3,3,1
fish1+3+4+5+15,1275,6619,6619,0,0.0,3,3,5
fish1+3+4+5+15,1313,5222,5222,0,0.0,3,3,3
fish1+3+4+5+15,1352,2484,2484,0,0.0,4,4,2
fish1+3+4+5+15,1390,4765,4765,0,0.0,3,3,3
fish1+3+4+5+15,1429,5367,5367,0,0.0,3,3,2
fish1+3+4+5+15,1468,0,0,0,0.0,0,0,0
fish1+3+4+5+15,1506,0,0,0,0.0,0,0,0
fish1+3+4+5+15,1545,1488,1488,0,0.0,1,1,1
fish1+3+4+5+15,1584,1201,1201,0,0.0,1,1,1
fish1+3+4+5+15,1622,5612,5612,0,0.0,3,3,5
fish1+3+4+5+15,1661,0,0,0,0.0,0,0,0
fish1+3+4+5+15,1700,0,0,0,0.0,0,0,0
fish1+3+4+5+15,1738,5947,5947,0,0.0,2,2,3
fish1+3+4+5+15,1777,5812,5812,0,0.0,3,3,6
fish1+3+4+5+15,1816,5637,5637,0,0.0,4,4,5
fish1+3+4+5+15,1854,6270,6270,0,0.0,3,3,6
fish1+3+4+5+15,1893,1179,1179,0,0.0,2,2,1
fish1+3+4+5+15,1931,1225,1225,0,0.0,2,2,2
fish1+3+4+5+15,1970,1151,1151,0,0.0,2,2,2
fish1+3+4+5+15,2009,1538,1538,0,0.0,2,2,3
fish1+3+4+5+15,2047,1501,1501,0,0.0,2,2,2
fish1+3+4+5+15,2086,1200,1200,0,0.0,2,2,2
fish1+3+4+5+15,2125,1414,1414,0,0.0,2,2,1
fish1+3+4+5+15,2163,1662,1662,0,0.0,2,2,2
fish1+3+4+5+15,2202,812,812,0,0.0,1,1,1
fish1+3+4+5+15,2241,0,0,0,0.0,0,0,0
fish1+3+4+5+15,2279,0,0,0,0.0,0,0,0
fish1+3+4+5+15,2318,827,827,0,0.0,2,2,2
fish1+3+4+5+15,2356,2517,2517,0,0.0,5,5,6
fish1+3+4+5+15,2395,841,841,0,0.0,3,3,4
fish1+3+4+5+15,2434,2827,2827,0,0.0,3,3,4
fish1+3+4+5+15,2472,13044,13044,0,0.0,7,7,3
fish1+3+4+5+15,2511,5116,5116,0,0.0,2,2,2
fish1+3+4+5+15,2550,8044,8044,0,0.0,4,4,1
fish1+3+4+5+15,2588,7056,7056,0,0.0,5,5,2
fish1+3+4+5+15,2627,262,262,0,0.0,1,1,1
fish1+3+4+5+15,2666,0,0,0,0.0,0,0,0
fish1+3+4+5+15,2704,3961,3961,0,0.0,2,2,4
fish1+3+4+5+15,2743,1705,1705,0,0.0,2,2,5
fish1+3+4+5+15,2781,5757,578,5179,0.8996004863644259,4,2,3
fish1+3+4+5+15,2820,503,503,0,0.0,1,1,1
fish1+3+4+5+15,2859,28416,27493,923,0.03248170045045045,5,5,1
fish1+3+4+5+15,2897,2467,2467,0,0.0,4,4,9
fish1+3+4+5+15,2936,873,873,0,0.0,3,3,3
fish1+3+4+5+15,2975,1098,1098,0,0.0,4,4,4
fish1+3+4+5+15,3013,2363,1198,0,0.0,3,2,4
