FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_Truth_Length (cm),_AbsError_Length (cm)
fish01,67.49,4804,240.2,20.0,20.0,19.69794636828694,14.60137034845657,31.466666666666665,234.5468335229427,57.5823438354365,5091,5292,467.8913616886092,273.2998174886068,843.011179177216,19.1436865234375,0.5542598448494402
fish11,13.0,1911,95.55,20.0,20.0,20.10703009467962,7.853242747518549,7.333333333333333,132.85930982176714,49.53600859563535,1278,4323,450.2234901596069,246.3011230430497,722.0846132026566,19.23323974609375,0.8737903485858673
fish12,15.28,355,17.75,20.0,20.0,19.54028247373722,9.750306964420076,6.533333333333333,141.4106939704209,49.09499863166732,1777,1192,420.257586714662,248.3632291232639,704.1608158379258,19.19973022460937,0.34055224912784965
fish14,12.32,382,19.1,20.0,20.0,18.255516361598296,9.83616484985292,5.333333333333333,124.13727720894954,46.68525060052106,1656,820,416.1645873601277,264.388925191074,713.6735125512017,19.23723999023437,0.9817236286360753
fish15,9.61,6133,306.65,20.0,20.0,19.981393721566093,14.259755834081336,5.733333333333333,216.7993932499052,57.23206006793095,3404,518,421.8525956117794,250.33390949070187,740.2665051024813,19.23274658203125,0.7486471395348424
fish3,81.9,275,13.75,20.0,20.0,18.135227070622765,17.11375312524338,7.733333333333333,260.9594235874099,60.41131338083784,6247,1769,465.2650259328584,268.4841242573102,858.6891501901687,18.179229736328125,0.044002665705360045
fish4,61.25,3319,165.95,20.0,20.0,17.22845316281431,12.3903035987121,11.733333333333333,156.73113386423964,48.172667912835145,3238,4689,465.2301388861762,266.712311192788,796.7024500789641,18.05954345703125,0.8310902942169385
fish5,27.36,1698,84.9,20.0,20.0,19.141414511940507,15.839972377185688,1.8666666666666667,214.3155100492984,57.88783597040002,3175,359,439.18791143932566,248.35291664615207,751.0408280854778,19.220302734375,0.07888822243449312
fish6,13.78,5500,275.0,20.0,20.0,21.722585814148083,8.75696797165177,6.0,155.00568828213878,52.24830516907104,3001,920,439.5199955801317,265.17457354226644,764.7145691223981,21.77297607421875,0.05039026007066738
fish7,18.32,6945,347.25,20.0,20.0,19.96544904651608,8.364452177035107,2.2666666666666666,119.0747061054228,46.7553829304002,2349,266,459.7182676653637,258.15628251393633,764.8545501793001,19.18,0.7854490465160815
