FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score
fish01,67.49,92,4.6,20.0,20.0,15.539828577930754,7.98646294413122,13.6,95.94235874099354,39.19520031008863,2355,3362,460.13869351940383,265.470592446857,772.7092859662608
fish01,67.49,93,4.65,20.0,20.0,15.485652042737055,8.01086281352615,13.2,96.13196814562001,39.05151651333147,2377,3371,460.0174695004876,265.47218749894034,773.029656999428
fish01,67.49,94,4.7,20.0,20.0,14.605155945924649,7.594681091880817,13.333333333333334,91.73302995828591,37.61381882847771,2323,3155,460.0867924287585,264.899049478107,771.4458419068656
fish01,67.49,95,4.75,20.0,20.0,14.41042053331232,7.594681091880817,13.066666666666666,92.58627227910503,37.56771879323935,2328,3271,460.32736967110355,264.8973242176903,771.7846938887938
fish01,67.49,96,4.8,20.0,20.0,15.96830383421095,7.789416504493146,13.066666666666666,99.01403109594234,40.0160676985682,2410,3294,460.1662541976928,264.896588540607,773.2628427382999
fish01,67.49,97,4.85,20.0,20.0,15.98530187998501,8.034785026097694,12.666666666666666,99.45013272658322,40.02055659556589,2454,3242,460.047104827033,264.89135416560697,774.01845899264
fish01,67.49,98,4.9,20.0,20.0,15.738550159305587,8.460921026799596,12.8,103.52673492605231,40.60137837852364,2508,3272,459.87789027657226,264.89155598852363,774.9294462650959
fish01,67.49,99,4.95,20.0,20.0,15.815939478973888,8.09236607330007,12.8,101.51687523701173,39.879527513104605,2438,3281,459.76472192315003,264.8928710926903,773.4175930158403
fish01,67.49,100,5.0,20.0,20.0,15.813993194561336,7.718969923038479,12.0,100.62571103526733,39.833680861625346,2479,3217,468.39872321980783,265.62691078388434,783.6056340036922
fish01,67.49,101,5.05,20.0,20.0,15.797010005920194,7.51795068605753,12.0,96.15092908608266,39.343475541274906,2431,3244,467.11040283864327,266.0489355234676,781.7793383621109
fish01,67.49,102,5.1,20.0,20.0,15.89545634007637,7.929858753418352,12.0,98.9571482745544,39.351892942787956,2491,3347,466.18576302618334,265.93739255471763,781.943155580901
fish01,67.49,103,5.15,20.0,20.0,16.348967351040482,8.292178911087895,11.866666666666667,101.30830489192262,40.29612305233031,2531,3324,465.5814662144791,265.93827797138425,782.1397441858634
fish01,67.49,104,5.2,20.0,20.0,16.36710048176965,8.24838751180545,11.866666666666667,103.58361774744026,40.680356622129224,2597,3404,464.99683977111073,265.9422948984676,782.8791346695784
fish01,67.49,105,5.25,20.0,20.0,16.470942926602458,8.14479838108893,12.133333333333333,103.96283655669319,40.671000180172804,2611,3585,463.96830238758594,265.940003231801,782.128305619387
fish01,67.49,106,5.3,20.0,20.0,16.30850989238534,8.17012459272144,12.133333333333333,101.0618126659082,40.261026813303715,2552,3724,463.4777208033244,265.9441113047176,780.461832108042
fish01,67.49,107,5.35,20.0,20.0,16.07334227824384,8.274314694464582,12.133333333333333,102.80621918847173,39.9573574164068,2568,3839,462.9427164947886,265.9442935963842,780.2470100911729
fish01,67.49,108,5.4,20.0,20.0,16.2735302586379,8.273517609283411,12.0,102.16154721274174,39.93506503131661,2499,4047,462.86193551907,265.941409481801,778.783345000871
fish01,67.49,109,5.45,20.0,20.0,16.36469659766315,8.638191136807523,12.0,101.55479711793703,40.00465967226965,2499,4300,462.35776905012716,265.94702797138416,778.2847970215114
fish01,67.49,110,5.5,20.0,20.0,14.994626771149306,9.347299805391776,12.266666666666666,99.99999999999999,39.58318200952355,2509,4399,448.0160980450478,265.9501269297175,764.1462249747652
fish01,67.49,111,5.55,20.0,20.0,15.521836589964328,9.524570658256348,12.266666666666666,107.45164960182024,41.018643254801674,2627,4597,448.09149300461763,265.9511685963842,766.5826616010017
fish01,67.49,112,5.6,20.0,20.0,16.372606535229895,8.708833089560091,12.266666666666666,107.679180887372,40.2120924781753,2660,4762,448.3274478617349,265.9556672943009,767.4831151560359
fish01,67.49,113,5.65,20.0,20.0,16.596717471052145,8.860398873902689,12.266666666666666,108.15320439893817,40.45684962876018,2651,4869,447.81284715440523,265.95993161721753,766.7927787716228
fish01,67.49,114,5.7,20.0,20.0,16.652706576462116,8.977940338144618,12.4,106.95866514979141,40.576154216822886,2638,5030,447.5999913133409,265.9614810963842,766.3214724097252
fish01,67.49,115,5.75,20.0,20.0,13.826214295475335,10.515712281065747,12.133333333333333,103.20439893818731,40.30214190901901,2575,5108,447.50067708325804,265.5873925547175,764.5880696379755
fish01,67.49,116,5.8,20.0,20.0,16.79924544988115,8.537320861415408,12.266666666666666,102.25635191505496,40.16919905329227,2555,5264,447.5062499908824,265.5926073984675,764.1988573893499
fish01,67.49,117,5.85,20.0,20.0,16.93694432921263,8.675019740746889,12.266666666666666,103.62153962836555,40.419467573405264,2589,5280,447.1219835064735,265.60471026305083,764.5066937695243
fish01,67.49,118,5.9,20.0,20.0,17.028186439615773,8.727586505588679,12.266666666666666,106.02957906712172,40.623672063612965,2639,5473,447.09883246103914,265.58810219013424,765.4669346511733
fish01,67.49,119,5.95,20.0,20.0,15.461320516153558,9.842863188230016,12.266666666666666,109.02540766021993,40.9208654219841,2715,5565,447.21749999969853,265.58745114846755,767.104951148166
fish01,67.49,120,6.0,20.0,20.0,16.489625771249678,9.329655474335684,12.266666666666666,109.7838452787258,41.109603706464625,2728,5654,446.9965277608237,265.5893066172176,767.1458343780412
fish01,67.49,121,6.05,20.0,20.0,16.813601897421986,8.783443382515658,12.266666666666666,107.2810011376564,40.642808816885164,2668,5785,446.8881032780966,265.5809472422176,765.8290505203141
fish01,67.49,122,6.1,20.0,20.0,16.864084949371712,8.685198362510553,12.933333333333334,106.88282138794082,40.47907552818056,2674,6035,446.6102777650433,265.5809407318009,765.6712184968442
fish01,67.49,123,6.15,20.0,20.0,16.931470961444806,8.787531322638666,12.933333333333334,106.18126659082289,40.64477694592597,2654,6282,446.3869444335938,265.65635739846755,765.1233018320614
fish01,67.49,124,6.2,20.0,20.0,16.96447311080056,8.87004338173787,12.8,110.06825938566551,41.12639899880287,2674,6354,446.25450519748256,265.6560058359676,765.3905110334501
fish01,67.49,125,6.25,20.0,20.0,17.06144710308434,8.424279622735025,12.8,106.21918847174818,40.75750660267189,2632,6461,446.24627603978286,265.66007484638425,764.546350886167
