FishID,FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Weight (g),Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score
fish01,8,0.4,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,3542,9272,461.063561073567,266.5798827955458,798.4834438691129
fish01,55,2.75,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,2947,10192,470.7175345828962,265.42993489430745,795.0874694772037
fish01,58,2.9,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,2951,9687,469.94332463100113,265.600472001383,794.5637966323841
fish01,84,4.2,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,2521,5114,461.3719574620942,265.44949218644035,777.2414496485345
fish01,142,7.1,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,3228,8113,454.658741313341,266.04314776305097,785.261889076392
fish01,149,7.45,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,2812,8729,454.3160460069256,266.0406542734676,776.5967002803932
fish01,159,7.95,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,2737,9258,457.4911976803626,261.7866373519792,774.0178350323417
fish01,191,9.55,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,2872,5113,452.87105898068273,264.9870995897823,775.2981585704651
fish01,194,9.7,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,2748,4969,453.1255207245249,264.9946386522823,773.0801593768072
fish01,224,11.2,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,3144,4736,455.40966145712736,265.40755208062075,783.6972135377481
fish01,225,11.25,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,3139,4873,454.9714149298775,265.40298502221634,783.1543999520939
fish01,245,12.25,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,3307,7238,448.816145829641,261.18685220971633,776.1429980393574
fish01,280,14.0,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,3389,10400,455.291466880968,266.6676790150007,789.7391458959687
fish01,292,14.6,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,3617,11215,457.29981763592,266.6856347441672,796.3254523800873
fish01,321,16.05,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,4374,13138,448.82761685427454,264.3101041422526,800.6177209965272
fish01,818,40.9,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,5409,5317,451.3271640983675,268.1014029383234,827.608567036691
fish01,836,41.8,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,5112,4774,445.23975936774747,264.85103514400055,812.3307945117481
fish01,858,42.9,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,4666,4051,456.88402312401655,272.7998242034488,823.0038473274655
fish01,863,43.15,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,4608,3844,456.5776822096082,272.78944984638423,821.5271320559924
fish01,879,43.95,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,4344,2379,452.3794617377388,272.33134758499995,811.5908093227387
fish01,896,44.8,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,3429,1584,463.1165135701309,269.48869465373355,801.1852082238644
fish01,914,45.7,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,2914,934,461.934924439814,270.42653618024195,790.6414606200559
fish01,968,48.4,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,2113,1199,467.2597956217261,268.8957844950252,778.4155801167512
fish01,983,49.15,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,2031,4538,466.7077730941771,273.16998045344883,780.497753547626
fish01,1014,50.7,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,2001,1086,462.5266221788193,272.46706361181475,775.0136857906341
fish01,1031,51.55,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,2273,651,455.8606070685492,272.4267284651756,773.7473355337248
fish01,1043,52.15,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,2066,1247,455.4692486190797,267.36186517477034,764.1511137938501
fish01,1048,52.4,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,2127,1456,462.4560020661343,267.86891926875643,772.8649213348907
fish01,1065,53.25,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,2098,709,467.891245195384,272.56000314711474,782.4112483424988
fish01,1094,54.7,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,2663,461,466.7088449416926,269.4168968517622,789.3857417934548
fish01,1175,58.75,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,2057,678,459.816115449863,271.574342446857,772.5304578967199
fish01,1194,59.7,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,2532,14680,454.4509672647925,262.14499020681376,767.2359574716062
fish01,1384,69.2,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,3742,4825,459.6042881310733,269.8788216008505,804.3231097319239
fish01,1402,70.1,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,3536,6971,462.328324650894,268.78830725093417,801.8366319018282
fish01,1454,72.7,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,3736,5394,465.6578845552232,269.70980791294306,810.0876924681663
fish01,1462,73.1,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,3674,4890,465.419859613037,269.8550357775264,808.7548953905634
fish01,1500,75.0,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,3841,6526,469.8302641122136,268.3677766926129,815.0180408048266
fish01,1514,75.7,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,4136,5398,456.0425339072145,269.4498535155296,808.2123874227441
fish01,1529,76.45,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,4413,3599,464.5615697455511,269.47976236969623,822.3013321152473
fish01,1558,77.9,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,4764,2661,463.8598594378248,267.4230175412389,826.5628769790636
fish01,1618,80.9,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,3203,4296,466.98267173002273,271.7805403550466,802.8232120850694
fish01,1620,81.0,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,3270,4408,467.1145914822049,271.78804686546334,804.3026383476682
fish01,1637,81.85,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,3079,5248,460.891800966145,267.51130858421334,789.9831095503584
fish01,1679,83.95,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,2374,4127,460.90997360990553,270.97242181697425,779.3623954268799
fish01,1683,84.15,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,2360,3732,460.9480768717261,271.0246906987403,779.1727675704665
fish01,1710,85.5,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,1957,2515,457.49940532495935,271.9565136484676,768.5959189734269
fish01,1714,85.7,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,1802,2241,457.2440017213422,271.9647428151341,765.2487445364764
fish01,1731,86.55,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,1483,813,465.7448566079034,271.6991633880509,767.1040199959543
fish01,1758,87.9,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,1825,770,471.5804904227362,269.066396447489,777.1468868702252
fish01,1779,88.95,20.0,20.0,67.49,19.48509713921824,9.071889046737509,10.533333333333331,149.55441789912777,51.12231416056005,1751,1351,467.0573784721468,272.5506477495723,774.628026221719
