FishID,ImagePath,PxPerCm,Length_truth (cm),Width_truth (cm),Area_truth (cm²),Perimeter_truth (cm)
fish01,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish01\single image\fish1.jpg,50.0,19.1436865234375,3.408346862792969,39.9032,40.797396440505985
fish10,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish10\single image\fish10.jpg,50.0,17.9943701171875,4.2684716796875,49.3518,41.106690912246705
fish11,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish11\single image\fish11.jpg,50.0,19.23323974609375,1.5341293334960937,20.021,40.0114509677887
fish12,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish12\single image\fish12.jpg,50.0,19.199730224609375,1.5228977966308594,20.271,40.02540238380432
fish13,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish13\single image\fish13.jpg,50.0,13.96,2.66,22.5348,30.910210070610045
fish14,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish14\single image\fish14.jpg,50.0,19.237239990234375,1.509253692626953,20.4362,39.918643424510954
fish15,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish15\single image\fish15.jpg,50.0,19.23274658203125,1.4780239868164062,22.2214,39.74489532470703
fish2,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish2\single image\fish2.jpg,50.0,19.184920654296874,2.5256196594238283,34.652,40.665335545539854
fish3,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish3\single image\fish3.jpg,50.0,18.179229736328125,8.681918334960937,106.9158,43.98779381752014
fish4,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish4\single image\fish4.jpg,50.0,18.05954345703125,2.1840826416015626,22.9692,36.968567304611206
fish5,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish5\single image\fish5.jpg,50.0,19.220302734375,1.8373065185546875,30.0704,39.689622507095336
fish6,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish6\single image\fish6.jpg,50.0,21.77297607421875,1.5538430786132813,21.4108,44.779333097934725
fish7,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish7\single image\fish7.jpg,50.0,19.18,4.96,89.9526,46.71182886838913
fish8,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish8\single image\fish8.jpg,50.0,19.211253662109375,1.5309738159179687,22.302,39.859254977703095
fish9,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\fish9\single image\fish9.jpg,50.0,18.634403076171875,1.4046400451660157,20.3132,38.449835748672484
