model,fish_id,view,frame,img_path,confidence,x1,y1,x2,y2,box_w_px,box_h_px,img_w,img_h,num_detections
YOLO12m,fish01,front,144,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-144.jpg,0.8472,350.5,189.9,433.7,283.1,83.1,93.3,640,480,1
YOLO12m,fish01,front,145,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-145.jpg,0.8436,350.2,190.3,433.1,282.8,82.9,92.5,640,480,1
YOLO12m,fish01,front,146,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-146.jpg,0.834,350.4,189.9,433.6,283.1,83.2,93.2,640,480,1
YOLO12m,fish01,front,147,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-147.jpg,0.8302,350.8,188.9,435.2,283.0,84.4,94.1,640,480,1
YOLO12m,fish01,front,148,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-148.jpg,0.8293,350.7,188.5,435.2,283.1,84.5,94.6,640,480,1
YOLO12m,fish01,front,149,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-149.jpg,0.8376,352.0,188.8,436.3,282.7,84.3,93.9,640,480,1
YOLO12m,fish01,front,150,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-150.jpg,0.7906,354.2,193.3,438.1,284.5,83.9,91.1,640,480,1
YOLO12m,fish01,front,151,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-151.jpg,0.7903,354.3,193.4,438.1,284.4,83.8,91.0,640,480,1
YOLO12m,fish01,front,152,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-152.jpg,0.7881,354.3,193.4,438.0,284.4,83.8,91.0,640,480,1
YOLO12m,fish01,front,153,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-153.jpg,0.7824,354.3,193.2,438.1,284.4,83.8,91.3,640,480,1
