model,fish_id,view,frame,img_path,confidence,x1,y1,x2,y2,box_w_px,box_h_px,img_w,img_h,num_detections
YOLOv8m,fish01,front,144,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-144.jpg,0.9066,354.7,191.3,430.7,279.6,75.9,88.2,640,480,1
YOLOv8m,fish01,front,145,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-145.jpg,0.9074,354.5,191.1,430.9,279.3,76.3,88.2,640,480,1
YOLOv8m,fish01,front,146,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-146.jpg,0.9074,354.7,191.4,430.8,279.8,76.1,88.4,640,480,1
YOLOv8m,fish01,front,147,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-147.jpg,0.9001,354.0,190.4,431.1,279.5,77.2,89.1,640,480,1
YOLOv8m,fish01,front,148,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-148.jpg,0.9005,353.8,190.2,431.4,279.6,77.5,89.4,640,480,1
YOLOv8m,fish01,front,149,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-149.jpg,0.9037,354.2,190.4,431.8,279.5,77.6,89.0,640,480,1
YOLOv8m,fish01,front,150,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-150.jpg,0.8866,357.2,189.5,435.6,281.2,78.5,91.6,640,480,1
YOLOv8m,fish01,front,151,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-151.jpg,0.8866,357.2,189.5,435.6,281.2,78.4,91.6,640,480,1
YOLOv8m,fish01,front,152,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-152.jpg,0.8869,357.2,189.5,435.6,281.2,78.4,91.7,640,480,1
YOLOv8m,fish01,front,153,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-153.jpg,0.8862,356.8,189.3,435.5,281.1,78.7,91.8,640,480,1
