FishID,FrameIndex,TopFramePath,FrontFramePath,TopMaskPath,FrontMaskPath
fish01,286,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000286_top.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000286_front.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000286_top_mask.png,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000286_front_mask.png
fish01,287,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000287_top.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000287_front.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000287_top_mask.png,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000287_front_mask.png
fish01,288,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000288_top.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000288_front.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000288_top_mask.png,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000288_front_mask.png
fish01,289,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000289_top.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000289_front.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000289_top_mask.png,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000289_front_mask.png
fish01,290,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000290_top.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000290_front.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000290_top_mask.png,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000290_front_mask.png
fish01,291,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000291_top.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000291_front.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000291_top_mask.png,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000291_front_mask.png
fish01,292,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000292_top.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000292_front.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000292_top_mask.png,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000292_front_mask.png
fish01,293,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000293_top.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000293_front.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000293_top_mask.png,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000293_front_mask.png
fish01,294,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000294_top.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000294_front.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000294_top_mask.png,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000294_front_mask.png
fish01,331,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000331_top.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000331_front.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000331_top_mask.png,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000331_front_mask.png
fish01,332,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000332_top.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000332_front.jpg,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000332_top_mask.png,C:\Users\shain\Downloads\FISH DATASET\FISH DATASET\proof_frames_fish_frames_200\fish01\fish01_frame000332_front_mask.png
