Model,Feature_Set,R2,RMSE_g,MAE_g,RMSE_Percent,MAPE_Percent
Linear Regression,basic,0.033832454614966534,22.23254124525688,17.273759139585618,84.51509634781755,97.89364068293781
Ridge Regression,basic,0.12921226136815722,21.10663679367489,16.239746164567315,80.23506726098569,85.88607833836338
Lasso Regression,basic,0.10644110228612036,21.380825845688264,16.394371924647455,81.27737339651891,84.22828956379459
Elastic Net,basic,0.13496665326155632,21.036782124747894,15.62600435144729,79.96952073575571,73.07573412280422
Random Forest,basic,0.1944930911529844,20.300069232377833,12.618553333333342,77.1689699398534,63.78461813211136
Support Vector Regression,basic,-0.27013356153123746,25.491041504993465,14.173229580859406,96.90200526493373,35.930565714327074
Linear Regression,all_geo,0.010890841797325024,22.49494811061933,18.6543969324989,85.51261351258013,110.70323137517775
Ridge Regression,all_geo,0.09635316984043918,21.501177721907077,16.57581383783183,81.73488071887432,87.8183593478415
Lasso Regression,all_geo,0.10644008763976753,21.380837984771016,16.394389634040866,81.27741954219957,84.22841200743963
Elastic Net,all_geo,0.12763265605594343,21.125771795292493,15.691072361184991,80.30780732643692,73.35116681729754
Random Forest,all_geo,0.05678082855316746,21.966921290734682,14.098119999999996,83.5053649005348,67.6532561166598
Support Vector Regression,all_geo,-0.2638716323286332,25.428126733918912,14.203144356742404,96.66284016543342,36.33855617018606
Linear Regression,engineered,-0.018285323787139207,22.82430837854944,19.72716325422031,86.76464828765089,116.83219830541715
Ridge Regression,engineered,0.07666111802530096,21.734189346444346,16.29045528272811,82.6206543999253,86.78136865340747
Lasso Regression,engineered,0.11194469983519684,21.314879878754834,15.937322751329486,81.02668546626182,82.28636139348123
Elastic Net,engineered,0.15337010371457727,20.81180194663895,15.162966566465938,79.11427790861002,70.41329364565921
Random Forest,engineered,-0.04527559596119346,23.124816207399352,16.004993333333335,87.90700299323103,82.83507245185568
Support Vector Regression,engineered,-0.2745768178864523,25.535589713325592,14.269751176070564,97.07135145337791,36.52676684114276
